37_2_VWM_retest ego;11/15/2017;16:40:28;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;80;23080;16886
2;X2_no_target;1;53;15934;10583
3;M2_cued_target;1;63;15478;10756
4;X2_no_target;1;46;11070;10922
5;M3_cued_target;1;65;16100;12716
6;X2_no_target;1;39;11284;10834
7;M2_cued_target;1;51;11075;10712
8;X2_no_target;1;37;11625;11361
9;M1_cued_target;1;73;19566;16671
10;X2_no_target;1;34;11324;11113
11;M3_cued_target;1;61;15537;12695
12;X2_no_target;1;34;11755;11570
13;M1_cued_target;1;87;20116;16478
14;X2_no_target;1;38;11635;11255
15;M2_cued_target;1;52;12116;10722
16;X2_no_target;1;36;10854;10348
